epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3458,1.38827,3.54454,1.48987,0.00577,0.90909,0.37784,0.21216,1.00456,3.78615,1.286,0.00010002,0.00010002,0.00010002
2,51.2303,1.11765,2.74159,1.32979,0.00688,0.88182,0.42498,0.25841,0.94866,3.5174,1.20189,0.000205983,0.000205983,0.000205983
3,74.4907,1.23184,2.48404,1.43104,0.00725,0.87273,0.48873,0.28494,0.97501,3.57666,1.235,0.000300393,0.000300393,0.000300393
4,97.5598,1.18243,2.28082,1.36006,0.0079,0.93636,0.50494,0.31715,0.99153,3.52065,1.23658,0.000383252,0.000383252,0.000383252
5,120.534,1.12133,2.14331,1.34053,0.92927,0.24545,0.5774,0.39445,1.01406,3.12292,1.20268,0.000454558,0.000454558,0.000454558
6,143.642,1.11911,2.04991,1.32567,0.94504,0.31269,0.64102,0.40603,0.9316,3.05516,1.19284,0.000514311,0.000514311,0.000514311
7,166.751,1.14647,2.02892,1.32636,0.76584,0.446,0.57243,0.3734,1.0197,2.99104,1.29002,0.000562512,0.000562512,0.000562512
8,190.242,1.10708,2.15028,1.31664,0.69305,0.51317,0.57102,0.36085,0.99882,2.79933,1.2993,0.000599161,0.000599161,0.000599161
9,213.978,1.03087,1.7865,1.23347,0.82289,0.46462,0.58298,0.4174,0.94623,2.9481,1.26212,0.000624258,0.000624258,0.000624258
10,237.591,1.01108,1.88979,1.21477,0.79119,0.5,0.64618,0.4749,0.95971,2.71459,1.24156,0.000637803,0.000637803,0.000637803
11,261.846,1.02492,2.37831,1.26064,0.61952,0.46364,0.5206,0.33251,1.09122,2.93368,1.36427,0.000639795,0.000639795,0.000639795
12,285.223,1.03027,2.5175,1.28878,0.69186,0.47273,0.5728,0.39218,1.00427,2.71275,1.22848,0.000630234,0.000630234,0.000630234
13,310.775,0.96011,2.27339,1.22561,0.72767,0.56364,0.60947,0.42643,0.99262,2.55402,1.22959,0.000609122,0.000609122,0.000609122
14,336.2,1.05792,2.15878,1.27544,0.74753,0.56364,0.66526,0.42769,1.01845,2.36858,1.25364,0.000576457,0.000576457,0.000576457
15,361.428,1.01232,2.17675,1.23516,0.69643,0.67273,0.72431,0.47832,0.94893,2.30731,1.2232,0.000511769,0.000511769,0.000511769
16,385.531,0.93638,2.04958,1.2124,0.69961,0.74545,0.78151,0.53488,0.91323,2.16921,1.19332,0.000429253,0.000429253,0.000429253
17,457.273,0.88151,1.88732,1.20738,0.67892,0.78813,0.78608,0.55156,0.92926,2.09599,1.18055,0.000346736,0.000346736,0.000346736
18,492.686,0.93868,1.94043,1.19907,0.76535,0.78182,0.84075,0.62486,0.82535,1.85594,1.09751,0.00026422,0.00026422,0.00026422
19,543.913,0.83976,1.79938,1.12115,0.86823,0.79091,0.90277,0.69395,0.76416,1.66186,1.05177,0.000181703,0.000181703,0.000181703
20,567.422,0.86399,1.78138,1.13313,0.89411,0.84441,0.93177,0.73661,0.73058,1.5485,1.03145,9.91865e-05,9.91865e-05,9.91865e-05
